date,CVS
2021-03-14 05:55:17,Unavailable
2021-03-14 05:44:25,Unavailable
2021-03-14 05:21:13,Unavailable
2021-03-14 04:45:48,Unavailable
2021-03-14 04:20:16,Unavailable
2021-03-14 03:47:31,Available MEDFORD 
2021-03-14 03:22:36,Available MEDFORD 
2021-03-14 02:49:48,Unavailable
2021-03-14 02:41:35,Unavailable
2021-03-14 02:17:55,Unavailable
2021-03-14 01:48:27,Unavailable
2021-03-14 01:20:39,Unavailable
2021-03-14 00:51:59,Unavailable
2021-03-14 00:43:45,Unavailable
2021-03-14 00:18:42,Unavailable
2021-03-13 23:50:44,Unavailable
2021-03-13 23:23:38,Unavailable
2021-03-13 22:50:16,Unavailable
2021-03-13 22:28:42,Unavailable
2021-03-13 22:00:31,Unavailable
2021-03-13 21:54:57,Unavailable
2021-03-13 21:51:29,Unavailable
2021-03-13 21:50:12,Unavailable
2021-03-13 21:45:27,Unavailable
2021-03-13 21:44:49,Unavailable
2021-03-13 21:23:18,Available STONEHAM 
2021-03-13 21:05:23,Unavailable
2021-03-13 20:54:57,Available STONEHAM 
2021-03-13 20:42:28,Unavailable
2021-03-13 20:40:02,Unavailable
2021-03-13 20:11:23,Unavailable
2021-03-13 20:08:26,Unavailable
2021-03-13 20:03:59,Unavailable
2021-03-13 20:03:45,Unavailable
